target.effect,orig.study.number,rep.study.number,orig.N,orig.ES.type,orig.ES,orig.ES.CI,rep.N,rep.ES.type,rep.ES,rep.ES.CI,rep.outcome,IVs,DVs,rep.type,rep.effort.type,rep.method.differences,rep.active.sample.evidence,other.outcomes,ES.description,EC.URL,orig.study.article.URL,orig.study.article.DOI,rep.study.article.URL,rep.pre.reg.URL,rep.open.materials.URL,rep.open.data.URL,orig.open.data.URL,orig.open.materials.URL,orig.pre.reg.URL,rep.population,discipline,orig.study.pub.year,reporting.standard.used,effect.description,design,statistical.effect.type,orig.test.statistic,orig.pvalue,rep.outcome.bayesian,orig.article.title,RPP.orig.untransformed.ES,RPP.rep.untransformed.ES,RPP.interpretation,RPP.study.number,study.order.CS,rep.num.in.set,social.priming,include.in.HTML.table,rep.num
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Bocian & Frankowska (2014,SWPSON) Study 2",156,d,.93,.33,126,d,1.81,.42,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #420,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,24,,yes,526
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Davis & Hicks (2014,TAMU) Study 1",156,d,.93,.33,161,d,2.14,.39,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #421,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,25,,yes,527
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Hunt & Krueger (2014,TAMUC)",156,d,.93,.33,72,d,2.47,.62,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #422,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,26,,no,528
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Davis & Hicks (2014,TAMUON) Study 2",156,d,.93,.33,198,d,1.61,.32,"signal - inconsistent, larger",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #423,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,27,,yes,529
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Brandt et al. (2014,Tilburg)",156,d,.93,.33,43,d,1.48,.70,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #424,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,28,,no,530
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Klein et al. (2014,UFL)",156,d,.93,.33,118,d,2.59,.50,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #425,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,29,,yes,531
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Vianello & Galliani (2014,UNIPD)",156,d,.93,.33,77,d,1.38,.50,signal - consistent (imprecise),high vs. low anchor (population of Chicago),population estimate,very close,ML1 #426,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,30,,yes,532
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Schmidt & Nosek (2014,UVA)",156,d,.93,.33,75,d,2.11,.58,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #427,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,31,,no,533
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Hovermale & Joy-Gaba (2014,VCU)",156,d,.93,.33,100,d,2.02,.48,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #428,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,32,,yes,534
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Swol (2014,Wisc)",156,d,.93,.33,88,d,1.96,.52,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #429,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,33,,yes,535
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Wichman (2014,WKU)",156,d,.93,.33,86,d,2.57,.58,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #430,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,34,,no,536
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"Woodzicka (2014,WL)",156,d,.93,.33,73,d,1.35,.52,signal - consistent (imprecise),high vs. low anchor (population of Chicago),population estimate,very close,ML1 #431,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,35,,yes,537
anchoring effect (population of Chicago),Jacowitz & Kahneman (1995),"John & Skorinko (2014,WPI)",156,d,.93,.33,77,d,1.69,.53,"signal - inconsistent, larger (imprecise)",high vs. low anchor (population of Chicago),population estimate,very close,ML1 #432,,,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",,,http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf,10.1177/01461672952111004,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,cognitive,1995,,,,,,,,,,,,,,36,,no,538
question phrasing effect,Rugg (1941),"Bernstein (2014,abington)",,d,.65,,84,d,1.92,.52,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #433,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,1,,no,539
question phrasing effect,Rugg (1941),"Pilati (2014,brasilia)",,d,.65,,120,d,2.06,.45,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #434,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,2,,no,540
question phrasing effect,Rugg (1941),"Vranka (2014,Charles)",,d,.65,,84,d,1.49,.49,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #435,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,3,,no,541
question phrasing effect,Rugg (1941),"Nier (2014,Conncoll)",,d,.65,,95,d,2.30,.52,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #436,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,4,,no,542
question phrasing effect,Rugg (1941),"Rutchick (2014,CSUN)",,d,.65,,96,d,1.54,.46,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #437,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,5,,yes,543
question phrasing effect,Rugg (1941),"Cheong (2014,Help)",,d,.65,,102,d,2.53,.53,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #438,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,6,,no,544
question phrasing effect,Rugg (1941),"Vaughn (2014,Ithaca)",,d,.65,,90,d,1.51,.48,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #439,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,7,,no,545
question phrasing effect,Rugg (1941),"Kurtz (2014,JMU)",,d,.65,,174,d,2.12,.38,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #440,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,8,,yes,546
question phrasing effect,Rugg (1941),"Cemalcilar (2014,KU)",,d,.65,,113,d,.07,.38,no signal - inconsistent,allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #441,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,9,,yes,547
question phrasing effect,Rugg (1941),"Packard (2014,Laurier)",,d,.65,,112,d,.94,.40,signal - consistent,allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #442,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,10,,yes,548
question phrasing effect,Rugg (1941),"Kappes (2014,LSE)",,d,.65,,277,d,1.69,.28,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #443,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,11,,yes,549
question phrasing effect,Rugg (1941),"Huntsinger & Mallett (2014,Luc)",,d,.65,,146,d,2.18,.42,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #444,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,12,,yes,550
question phrasing effect,Rugg (1941),"Morris (2014,McDaniel)",,d,.65,,98,d,2.21,.51,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #445,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,13,,yes,551
question phrasing effect,Rugg (1941),"Furrow & Thompson (2014,MSVU)",,d,.65,,85,d,1.91,.52,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #446,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,14,,no,552
question phrasing effect,Rugg (1941),"Schmidt & Nosek (2014, MTURK)",,d,.65,,1000,d,2.44,.17,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #447,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,15,,yes,553
question phrasing effect,Rugg (1941),"Smith (2014,OSU)",,d,.65,,107,d,2.04,.47,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #448,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,16,,no,554
question phrasing effect,Rugg (1941),"Levitan (2014,Oxy)",,d,.65,,123,d,4.27,.64,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #449,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,17,,yes,555
question phrasing effect,Rugg (1941),"Schmidt & Nosek (2014,PI)",,d,.65,,1329,d,2.70,.15,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #450,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,18,,yes,556
question phrasing effect,Rugg (1941),"Adams & Nelson (2014,PSU)",,d,.65,,95,d,2.18,.52,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #451,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,19,,no,557
question phrasing effect,Rugg (1941),"Brumbaugh & Storbeck (2014,QCCUNY) Study 1",,d,.65,,103,d,1.43,.44,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #452,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,20,,no,558
question phrasing effect,Rugg (1941),"Brumbaugh & Storbeck (2014,QCCUNY2) Study 2",,d,.65,,86,d,1.59,.50,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #453,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,21,,no,559
question phrasing effect,Rugg (1941),"Devos (2014,SDSU)",,d,.65,,162,d,2.43,.41,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #454,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,22,,yes,560
question phrasing effect,Rugg (1941),"Bocian & Frankowska (2014,SWPS) Study 1",,d,.65,,79,d,1.45,.50,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #455,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,23,,no,561
question phrasing effect,Rugg (1941),"Bocian & Frankowska (2014,SWPSON) Study 2",,d,.65,,169,d,1.74,.36,"signal - inconsistent, larger",allowed vs. forbidden question framing,question endorsement (yes vs. no),close,ML1 #456,,,,,,https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf,10.1086/265467,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,1941,,,,,,,,,,,,,,24,,yes,562
